                    Ramp 3A4 analysis for 100/03/22
                                                  File      Database
Occupancy        _1___2___3___4___5___6   Station 02.06.12  02.06.12
Thresholds # 2:  15  16  17  18  23  40     Meter 04.04.0f  04.04.0f
+----------+------+---------+------------------------------------------+
|          |  Red |  Rates  |           Occupancy Stations             |
|   Time   | Time | F  C  M | 431 432 433 434 435 430                  |
+----------+------+---------+------------------------------------------+
| 14:30:30 |      | 7  1  F |  10   7   6   8  15  10                  |
| 14:31:00 |      | 7  1  F |   8   8   8   7  11   8                  |
| 14:31:30 |      | 7  1  F |  10   9   9   9  11   8                  |
| 14:32:00 |      | 7  1  F |   9   9  12  10  12  10                  |
| 14:32:30 |      | 7  2  F |   8   8  11  12  17   8                  |
| 14:33:00 |      | 7  2  F |  12   7   7  11  17  12                  |
| 14:33:30 |      | 7  1  F |   9   8   7   7  13  16                  |
| 14:34:00 |      | 7  1  F |  12   9  11   9  12  14                  |
| 14:34:30 |      | 7  3  F |  18   8  11  12  15  11                  |
| 14:35:00 |      | 7  1  F |  16  13  10  10  14  10                  |
| 14:35:30 |      | 7  3  F |  11  18  11  10  11  10                  |
| 14:36:00 |      | 7  1  F |  10  14  14  13  13   9                  |
| 14:36:30 |      | 7  4  F |  11   8  13  14  22   9                  |
| 14:37:00 |      | 7  4  F |  11   8  10  12  22  14                  |
| 14:37:30 |      | 7  1  F |  10  10  11  11  15  16                  |
| 14:38:00 |      | 7  1  F |  13  13  12  11  14  10                  |
| 14:38:30 |      | 7  2  F |  17  12  13  13  16   9                  |
| 14:39:00 |      | 7  4  F |  14  12  13  13  19  11                  |
| 14:39:30 |      | 7  1  F |  12  15  12  11  16  11                  |
| 14:40:00 |      | 7  1  F |  14  13  14  13  16  10                  |
| 14:40:30 |      | 7  4  F |  14  10  12  14  22  12                  |
| 14:41:00 |      | 7  4  F |  13  11   8   9  19  13                  |
| 14:41:30 |      | 7  1  F |  13  13  10   9  12   9                  |
| 14:42:00 |      | 7  1  F |  14  11  12  14  12  10                  |
| 14:42:30 |      | 7  4  F |  11  12  12  13  19  11                  |
| 14:43:00 |      | 7  3  F |  12  12  13  12  18   9                  |
| 14:43:30 |      | 7  1  F |  11  11  13  15  16   9                  |
| 14:44:00 |      | 7  3  F |   8  11  14  12  18   7                  |
| 14:44:30 |      | 7  1  F |   9   8  13  13  16   9                  |
| 14:45:00 |      | 7  4  F |   9   9   9  12  19   9                  |
| 14:45:30 |      | 7  1  F |  10   8  10   9  16  13                  |
| 14:46:00 |      | 7  1  F |   9   6  10  11  11  14                  |
| 14:46:30 |      | 7  1  F |  13   7   7   9  12   9                  |
| 14:47:00 |      | 7  1  F |  16  12   9   7  11   7                  |
| 14:47:30 |      | 7  1  F |  12  13  15  12  11   9                  |
| 14:48:00 |      | 7  4  F |   6  12  13  16  21  10                  |
| 14:48:30 |      | 7  5  F |  11   9  11  13  25   9                  |
| 14:49:00 |      | 7  2  F |  13   7   9  11  17  10                  |
