                    Ramp 3C7 analysis for 100/03/22
                                                  File      Database
Occupancy        _1___2___3___4___5___6   Station 02.06.12  02.06.12
Thresholds # 2:  15  16  17  18  23  40     Meter 04.04.0f  04.04.0f
+----------+------+---------+------------------------------------------+
|          |  Red |  Rates  |           Occupancy Stations             |
|   Time   | Time | F  C  M | 768 767 766 765 764                      |
+----------+------+---------+------------------------------------------+
| 14:30:30 |      | 7  1  F |  12  13  11   0*  9                      |
| 14:31:00 |      | 7  1  F |  11  12  12   0*  9                      |
| 14:31:30 |      | 7  2  F |  14  11  11   0*  9                      |
| 14:32:00 |      | 7  1  F |  12  13  12   0* 10                      |
| 14:32:30 |      | 7  1  F |  13  12  11   0* 11                      |
| 14:33:00 |      | 7  1  F |  15  15  13   0*  9                      |
| 14:33:30 |      | 7  1  F |  12  16  15   0*  9                      |
| 14:34:00 |      | 7  1  F |   9  11  12   0*  9                      |
| 14:34:30 |      | 7  1  F |   9   8   8   0* 11                      |
| 14:35:00 |      | 7  1  F |  12  11   9   0* 13                      |
| 14:35:30 |      | 7  1  F |   9  12  11   0* 10                      |
| 14:36:00 |      | 7  1  F |   8   9   9   0*  6                      |
| 14:36:30 |      | 7  1  F |  10   9   8   0*  8                      |
| 14:37:00 |      | 7  1  F |  10  10  10   0* 11                      |
| 14:37:30 |      | 7  2  F |   9  10  10   0*  9                      |
| 14:38:00 |      | 7  1  F |  11  10   9   0*  5                      |
| 14:38:30 |      | 7  2  F |  11  12  11   0*  9                      |
| 14:39:00 |      | 7  3  F |  11  13  10   0* 10                      |
| 14:39:30 |      | 7  1  F |  14  13  11   0*  9                      |
| 14:40:00 |      | 7  1  F |  12  14  14   0* 10                      |
| 14:40:30 |      | 7  2  F |  12  12  10   0*  7                      |
| 14:41:00 |      | 7  2  F |  13  14  12   0*  9                      |
| 14:41:30 |      | 7  1  F |  12  14  15   0* 12                      |
| 14:42:00 |      | 7  3  F |  12  14  15   0* 11                      |
| 14:42:30 |      | 7  2  F |  12  15  15   0* 12                      |
| 14:43:00 |      | 7  1  F |  12  15  14   0* 13                      |
| 14:43:30 |      | 7  2  F |  11  17  15   0* 14                      |
| 14:44:00 |      | 7  1  F |  13  15  13   0* 13                      |
| 14:44:30 |      | 7  1  F |  15  15  14   0* 13                      |
| 14:45:00 |      | 7  1  Z |  13  16  14   0* 14                      |
| 14:45:30 |      | 7  2  Z |  14  14  13   0* 12                      |
| 14:46:00 |  5.4 | 1  1  Z |  16  15  14   0* 13                      |
| 14:46:30 |  8.1 | 3  3  C |  15  18  14   0* 12                      |
| 14:47:00 |  6.5 | 2  2  Z |  13  16  14   0* 11                      |
| 14:47:30 |  5.4 | 1  1  Z |   9  13  14   0* 12                      |
| 14:48:00 |  5.4 | 1  1  Z |  11   9   9   0* 11                      |
| 14:48:30 |  5.4 | 1  1  Z |  16  11  10   0* 13                      |
| 14:49:00 |  5.4 | 1  1  Z |  14  16  15   0* 13                      |
| 14:49:30 |  5.4 | 1  1  Z |  10  14  13   0* 10                      |
| 14:50:00 | 10.3 | 4  4  Z |  13  10  10   0*  9                      |
| 14:50:30 |  8.1 | 3  3  Z |  13  12  12   0* 10                      |
| 14:51:00 |  5.4 | 1  1  Z |  12  15  11   0* 12                      |
| 14:51:30 |  5.4 | 1  1  Z |  12  15  12   0* 11                      |
| 14:52:00 |  5.4 | 1  1  Z |   7  12  12   0* 11                      |
| 14:52:30 |  5.4 | 1  1  Z |   7   9   8   0* 13                      |
| 14:53:00 |  6.5 | 2  2  Z |  11  12   8   0* 10                      |
| 14:53:30 |  8.1 | 3  3  Z |  14  16  10   0* 10                      |
| 14:54:00 |  6.5 | 2  2  Z |  15  16  13   0*  7                      |
| 14:54:30 |  8.1 | 3  3  Z |  13  16  16   0*  6                      |
