workbook,sheet,max_row,max_column,nonblank_cells,formula_cells,note
data/original/169Data_modernized/0321RampDecisions.xlsx,RampList,12241,3,12259,0,
data/original/169Data_modernized/0321RampDecisions.xlsx,0321RampDecisions.txt,12241,7,80295,0,
data/original/169Data_modernized/169TextData.xlsx,169Data,38134,7,263770,0,
data/original/169Data_modernized/169TextData.xlsx,DetectorIDs,143,1,143,0,
data/original/169Data_modernized/Gini2.xlsx,Chart2,1,1,0,0,
data/original/169Data_modernized/Gini2.xlsx,Case2,1005,27,9248,5166,
data/original/169Data_modernized/Gini2.xlsx,Case2-data,1019,5,4044,1015,
data/original/169Data_modernized/Gini2.xlsx,Model,1039,46,46365,43164,
data/original/169Data_modernized/Gini2.xlsx,Delay,1033,4,4037,1000,
data/original/169Data_modernized/Gini2.xlsx,Chart1,1,1,0,0,
data/original/169Data_modernized/Gini2.xlsx,Summary,9,8,26,4,
data/original/169Data_modernized/Gini2.xlsx,Ranks and Percentiles,1005,24,8226,4165,
data/original/169Data_modernized/Gini2.xlsx,Sort,1001,4,4004,0,
data/original/169Data_modernized/Gini2.xlsx,Sheet4,1,1,0,0,
data/workbooks/modernized/3A1Delay.xlsx,Sheet1,2209,14,15635,11082,
data/workbooks/modernized/3A1Delay.xlsx,Sheet2,1,1,0,0,
data/workbooks/modernized/3A1Delay.xlsx,Sheet3,1,1,0,0,
data/workbooks/modernized/3A1Entropy.xlsx,Sheet1,1466,11,7333,5860,
data/workbooks/modernized/3A1Entropy.xlsx,Sheet2,1,1,0,0,
data/workbooks/modernized/3A1Entropy.xlsx,Sheet3,1,1,0,0,
data/workbooks/modernized/3A1Gini.xlsx,Sheet1,1466,257,8794,7323,
data/workbooks/modernized/3A1Gini.xlsx,Chart1,1,1,0,0,
data/workbooks/modernized/3A1Gini.xlsx,Sheet2,1465,4,5860,0,
data/workbooks/modernized/3A1Gini.xlsx,Sheet3,1,1,0,0,
data/workbooks/modernized/Accessibility.xlsx,Chart1,1,1,0,0,
data/workbooks/modernized/Accessibility.xlsx,Propensity,39,27,420,295,
data/workbooks/modernized/Accessibility.xlsx,Sheet2,1,1,0,0,
data/workbooks/modernized/Accessibility.xlsx,Sheet3,1,1,0,0,
data/workbooks/modernized/Efficiency VS Equity.xlsx,Sheet1,41,257,136,11,
data/workbooks/modernized/Efficiency VS Equity.xlsx,Sheet2,1,1,0,0,
data/workbooks/modernized/Efficiency VS Equity.xlsx,Sheet3,1,1,0,0,
data/workbooks/modernized/LogsumVTTLOS.xlsx,Sheet1,245,11,2615,2358,
data/workbooks/modernized/LogsumVTTLOS.xlsx,Sheet2,1,1,0,0,
data/workbooks/modernized/LogsumVTTLOS.xlsx,Sheet3,1,1,0,0,
data/workbooks/modernized/New OD Equity Results.xlsx,Ttt Gini,1,1,0,0,
data/workbooks/modernized/New OD Equity Results.xlsx,Ttt Redundancy,1,1,0,0,
data/workbooks/modernized/New OD Equity Results.xlsx,Ftt Gini,1,1,0,0,
data/workbooks/modernized/New OD Equity Results.xlsx,Ftt Redundancy,1,1,0,0,
data/workbooks/modernized/New OD Equity Results.xlsx,Speed Gini,1,1,0,0,
data/workbooks/modernized/New OD Equity Results.xlsx,Speed Redundancy,1,1,0,0,
data/workbooks/modernized/New OD Equity Results.xlsx,Freeway Speed Gini,1,1,0,0,
data/workbooks/modernized/New OD Equity Results.xlsx,Chart8,1,1,0,0,
data/workbooks/modernized/New OD Equity Results.xlsx,Delay Gini,1,1,0,0,
data/workbooks/modernized/New OD Equity Results.xlsx,Results Table,106,16,1696,0,
data/workbooks/modernized/New OD Equity Results.xlsx,Sheet2,1,1,0,0,
data/workbooks/modernized/New OD Equity Results.xlsx,Sheet3,1,1,0,0,
data/workbooks/modernized/STOD Equity Results.xlsx,Spatial Equity Results Table,107,22,1696,0,
data/workbooks/modernized/STOD Equity Results.xlsx,Sheet4,1,1,0,0,
data/workbooks/modernized/STOD Equity Results.xlsx,Temperal Equity Result Table,40,16,400,0,
data/workbooks/modernized/STOD Equity Results.xlsx,Temperal-Spatial Equity Results,4,4,15,0,
